# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
4.848484848e-01,5.736419895e-05,-2.017074885e-06,-2.925265635e-07,-1.498785806e+00,3.553045975e-02,9.619686390e-02
4.949494949e-01,6.009508866e-05,-2.058583207e-06,-5.219025791e-07,-1.446649491e+00,3.533917236e-02,1.659095107e-01
5.050505051e-01,6.398882753e-05,-2.088278822e-06,-7.757852405e-07,-1.392949177e+00,3.481425435e-02,1.991477461e-01
5.151515152e-01,6.829010446e-05,-2.093964406e-06,-1.042717928e-06,-1.339787770e+00,3.425414946e-02,2.224990520e-01
5.252525253e-01,7.243565090e-05,-2.043435027e-06,-1.305020363e-06,-1.286622259e+00,3.347252399e-02,3.574149326e-01
5.353535354e-01,7.790211829e-05,-1.974032338e-06,-1.585912056e-06,-1.232394917e+00,3.250459842e-02,3.540963793e-01
5.454545455e-01,8.426734026e-05,-1.896261749e-06,-1.884113928e-06,-1.179703934e+00,3.172217219e-02,4.043154993e-01
5.555555556e-01,9.088896976e-05,-1.764385882e-06,-2.167928435e-06,-1.126965164e+00,3.075366874e-02,4.710798458e-01
5.656565657e-01,9.921722410e-05,-1.592776604e-06,-2.451347980e-06,-1.073499791e+00,2.946425713e-02,5.061836957e-01
5.757575758e-01,1.063923659e-04,-1.360862492e-06,-2.676139208e-06,-1.020617180e+00,2.821891472e-02,5.277549998e-01
5.858585859e-01,1.165114017e-04,-1.120998863e-06,-2.912425449e-06,-9.691099808e-01,2.678462955e-02,6.059263603e-01
5.959595960e-01,1.268169212e-04,-8.509927524e-07,-3.130968014e-06,-9.180919006e-01,2.558457383e-02,6.403641115e-01
6.060606061e-01,1.376859139e-04,-5.321771224e-07,-3.279050010e-06,-8.658447993e-01,2.412704661e-02,7.059938549e-01
6.161616162e-01,1.498751414e-04,-2.011337501e-07,-3.390750364e-06,-8.150226296e-01,2.266360223e-02,7.267335314e-01
6.262626263e-01,1.632959798e-04,1.442769757e-07,-3.471500124e-06,-7.646299093e-01,2.127729623e-02,7.981410158e-01
6.363636364e-01,1.781777666e-04,4.937721483e-07,-3.463518603e-06,-7.145934118e-01,1.963510165e-02,8.609434148e-01
6.464646465e-01,1.919091527e-04,8.436639040e-07,-3.451161156e-06,-6.655202202e-01,1.851284876e-02,9.120508674e-01
6.565656566e-01,2.074292305e-04,1.176162512e-06,-3.345390155e-06,-6.163586126e-01,1.709558352e-02,9.694174673e-01
6.666666667e-01,2.248613307e-04,1.496065506e-06,-3.192033463e-06,-5.662555916e-01,1.567737814e-02,9.762826431e-01
6.767676768e-01,2.377901232e-04,1.758449168e-06,-2.990876005e-06,-5.196466393e-01,1.459062942e-02,1.082295771e+00
6.868686869e-01,2.550848345e-04,1.982553612e-06,-2.722810975e-06,-4.707205924e-01,1.320391290e-02,1.123236824e+00
6.969696970e-01,2.719073070e-04,2.173186548e-06,-2.448977350e-06,-4.224972692e-01,1.204151607e-02,1.153964025e+00
7.070707071e-01,2.885088838e-04,2.309092520e-06,-2.152221183e-06,-3.751250281e-01,1.094099679e-02,1.204349580e+00
7.171717172e-01,3.036912733e-04,2.376455496e-06,-1.813919755e-06,-3.259756368e-01,9.844283486e-03,1.235747665e+00
7.272727273e-01,3.186580300e-04,2.393499177e-06,-1.484232823e-06,-2.775375975e-01,8.838134581e-03,1.295201202e+00
7.373737374e-01,3.332403084e-04,2.363857868e-06,-1.169858277e-06,-2.297771003e-01,7.914700922e-03,1.321627428e+00
7.474747475e-01,3.476555173e-04,2.290463099e-06,-8.568597192e-07,-1.789902141e-01,7.034238220e-03,1.412374091e+00
7.575757576e-01,3.579357189e-04,2.158274965e-06,-5.633103943e-07,-1.276523916e-01,6.231778254e-03,1.449031977e+00
7.676767677e-01,3.706475815e-04,2.001638829e-06,-3.037411623e-07,-7.529866043e-02,5.462206034e-03,1.492124075e+00
7.777777778e-01,3.804253611e-04,1.812211956e-06,-7.539819540e-08,-2.079081722e-02,4.767767762e-03,1.542783028e+00
7.878787879e-01,3.872116863e-04,1.592254104e-06,1.190559102e-07,3.731652411e-02,4.123581432e-03,1.605808593e+00
7.979797980e-01,3.925513065e-04,1.368061027e-06,2.670214032e-07,9.637948383e-02,3.550813285e-03,1.664242582e+00
8.080808081e-01,3.950436420e-04,1.144148431e-06,3.854782839e-07,1.624843166e-01,3.056218520e-03,1.727220305e+00
8.181818182e-01,3.979951228e-04,8.989586018e-07,4.574194704e-07,2.353443601e-01,2.534308006e-03,1.800781871e+00
