# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
4.848484848e-01,2.655302362e-04,-1.553435316e-04,2.091275362e-04,1.104842287e+00,9.810970055e-01,1.104870959e+00
4.949494949e-01,2.762628012e-04,-1.822226757e-04,2.013625764e-04,1.153169227e+00,9.830247731e-01,1.179162382e+00
5.050505051e-01,2.873012241e-04,-2.080583725e-04,1.892843879e-04,1.201704109e+00,9.790323920e-01,1.216715870e+00
5.151515152e-01,2.969663443e-04,-2.332068285e-04,1.753301212e-04,1.248463109e+00,9.824808073e-01,1.271651071e+00
5.252525253e-01,3.052182979e-04,-2.540036878e-04,1.545747218e-04,1.297453931e+00,9.741887746e-01,1.281407061e+00
5.353535354e-01,3.126916957e-04,-2.748242551e-04,1.317427557e-04,1.347292043e+00,9.746649179e-01,1.366877797e+00
5.454545455e-01,3.194837421e-04,-2.920385001e-04,1.062674838e-04,1.396302464e+00,9.727319533e-01,1.396270174e+00
5.555555556e-01,3.255369366e-04,-3.060436275e-04,7.704308603e-05,1.447489025e+00,9.694508052e-01,1.443260028e+00
5.656565657e-01,3.292295142e-04,-3.157113487e-04,4.385353101e-05,1.501785962e+00,9.681468295e-01,1.501857383e+00
5.757575758e-01,3.333588819e-04,-3.202360699e-04,1.042069532e-05,1.554531732e+00,9.611430524e-01,1.564002425e+00
5.858585859e-01,3.342895745e-04,-3.193805450e-04,-2.627418028e-05,-1.529755712e+00,9.586283383e-01,1.605410916e+00
5.959595960e-01,3.338356232e-04,-3.127171260e-04,-6.375779631e-05,-1.470232983e+00,9.560109906e-01,1.669295475e+00
6.060606061e-01,3.350020658e-04,-2.998789625e-04,-1.028368091e-04,-1.405616073e+00,9.463278004e-01,1.739507636e+00
6.161616162e-01,3.312341326e-04,-2.773401956e-04,-1.417492188e-04,-1.334551342e+00,9.403166383e-01,1.803469987e+00
6.262626263e-01,3.281378227e-04,-2.487011014e-04,-1.788561122e-04,-1.259061215e+00,9.335589552e-01,1.891775739e+00
6.363636364e-01,3.264469355e-04,-2.095939189e-04,-2.128130544e-04,-1.174286852e+00,9.149894708e-01,1.970632491e+00
6.464646465e-01,3.199274504e-04,-1.603992342e-04,-2.394814389e-04,-1.080474681e+00,9.009378673e-01,2.055696559e+00
6.565656566e-01,3.143056144e-04,-1.022582274e-04,-2.582640088e-04,-9.739008734e-01,8.837626629e-01,2.211735121e+00
6.666666667e-01,3.066501684e-04,-3.318613523e-05,-2.629197174e-04,-8.481769503e-01,8.641959839e-01,2.351969014e+00
6.767676768e-01,3.000789564e-04,4.149230714e-05,-2.490785692e-04,-7.028644267e-01,8.414814697e-01,2.481733158e+00
6.868686869e-01,2.922711093e-04,1.125345275e-04,-2.091006092e-04,-5.385352080e-01,8.124636371e-01,1.256571834e+00
6.969696970e-01,2.851890792e-04,1.715931426e-04,-1.425189670e-04,-3.465506372e-01,7.821485397e-01,7.059692482e-01
7.070707071e-01,2.773497380e-04,2.046755236e-04,-5.909508184e-05,-1.405407838e-01,7.681128921e-01,5.766270842e-01
7.171717172e-01,2.698692161e-04,2.037850588e-04,2.889608781e-05,7.042892706e-02,7.626788774e-01,4.301601253e-02
7.272727273e-01,2.605677033e-04,1.707028108e-04,1.056309947e-04,2.770644319e-01,7.704025198e-01,-5.774848971e-01
7.373737374e-01,2.521397640e-04,1.185638393e-04,1.594414147e-04,4.656954397e-01,7.880276349e-01,-1.394834308e+00
7.474747475e-01,2.419555735e-04,5.926576263e-05,1.876040283e-04,6.324044786e-01,8.131357658e-01,-2.563632480e+00
7.575757576e-01,2.347933362e-04,4.912306259e-06,1.965095528e-04,7.729018665e-01,8.372083502e-01,-2.320503613e+00
7.676767677e-01,2.225872289e-04,-4.211642466e-05,1.870051074e-04,8.961578765e-01,8.611863359e-01,-2.143244533e+00
7.777777778e-01,2.148794923e-04,-7.855434591e-05,1.722199477e-04,9.993673132e-01,8.809097941e-01,-2.187899973e+00
7.878787879e-01,2.070368732e-04,-1.069985004e-04,1.513603773e-04,1.093073158e+00,8.953035381e-01,-2.032022359e+00
7.979797980e-01,1.975611147e-04,-1.264270034e-04,1.292356678e-04,1.172604556e+00,9.151179245e-01,-1.981925440e+00
8.080808081e-01,1.898973800e-04,-1.396080569e-04,1.067777245e-04,1.244330929e+00,9.255572376e-01,-1.908599105e+00
8.181818182e-01,1.829105939e-04,-1.472381695e-04,8.549002010e-05,1.307771017e+00,9.308237066e-01,-1.843258652e+00
8.282828283e-01,1.755678933e-04,-1.513871130e-04,6.568965635e-05,1.366096172e+00,9.399487000e-01,-1.740131165e+00
8.383838384e-01,1.693275353e-04,-1.525807591e-04,4.696173416e-05,1.421505526e+00,9.428133969e-01,-1.728600492e+00
8.484848485e-01,1.611679485e-04,-1.499299404e-04,2.958635463e-05,1.473380676e+00,9.482112771e-01,-1.673897528e+00
8.585858586e-01,1.551306437e-04,-1.469426985e-04,1.502663558e-05,1.519842514e+00,9.521589203e-01,-1.623053213e+00
8.686868687e-01,1.478062435e-04,-1.415184474e-04,1.701383793e-06,1.564785443e+00,9.575283902e-01,-1.569498110e+00
8.787878788e-01,1.431131570e-04,-1.370404547e-04,-1.010364091e-05,-1.533999187e+00,9.601661413e-01,-1.535258214e+00
8.888888889e-01,1.369027097e-04,-1.302332177e-04,-2.029357503e-05,-1.493505465e+00,9.627629482e-01,-1.505784191e+00
8.989898990e-01,1.308792492e-04,-1.227588209e-04,-2.897918744e-05,-1.454885347e+00,9.637352912e-01,-1.455776928e+00
9.090909091e-01,1.253594959e-04,-1.154601232e-04,-3.713684311e-05,-1.415200400e+00,9.675019141e-01,-1.423838817e+00
9.191919192e-01,1.209650085e-04,-1.082659144e-04,-4.410430518e-05,-1.377374432e+00,9.664336380e-01,-1.379293818e+00
9.292929293e-01,1.161792845e-04,-1.012420371e-04,-4.971559221e-05,-1.342562578e+00,9.708273511e-01,-1.352527101e+00
9.393939394e-01,1.107881634e-04,-9.319360538e-05,-5.422187475e-05,-1.307324149e+00,9.732047826e-01,-1.301001998e+00
9.494949495e-01,1.069143292e-04,-8.599312485e-05,-5.880845838e-05,-1.270885863e+00,9.744151646e-01,-1.269711404e+00
9.595959596e-01,1.033624556e-04,-7.951438532e-05,-6.259962561e-05,-1.237329823e+00,9.790698531e-01,-1.253682564e+00
9.696969697e-01,9.901286870e-05,-7.181009622e-05,-6.482194671e-05,-1.203647861e+00,9.770419525e-01,-1.170421135e+00
9.797979798e-01,9.607762040e-05,-6.488644758e-05,-6.733364017e-05,-1.168844063e+00,9.732727838e-01,-1.184102877e+00
9.898989899e-01,9.220562907e-05,-5.801957420e-05,-6.900012439e-05,-1.134980630e+00,9.777220145e-01,-1.112862783e+00
1.000000000e+00,8.968664372e-05,-5.171719299e-05,-7.094045636e-05,-1.100368073e+00,9.788609525e-01,-1.110280435e+00
