# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
4.848484848e-01,6.485587247e-07,6.351746760e-07,-1.305923919e-07,-1.013875268e-01,9.998488128e-01,3.031694297e+00
4.949494949e-01,6.849514522e-07,6.825106310e-07,-5.632382813e-08,-4.116894669e-02,9.998237575e-01,3.103835768e+00
5.050505051e-01,6.736394330e-07,6.730870548e-07,2.417472672e-08,1.795038225e-02,9.998242592e-01,-2.374099916e+00
5.151515152e-01,7.027564740e-07,6.942881479e-07,1.058502650e-07,7.564683385e-02,9.993656694e-01,-3.072471432e+00
5.252525253e-01,6.843902405e-07,6.588916194e-07,1.846614191e-07,1.366252117e-01,9.998377337e-01,-3.001119731e+00
5.353535354e-01,7.233413090e-07,6.625520082e-07,2.752296952e-07,1.968592706e-01,9.918477597e-01,-2.944699571e+00
5.454545455e-01,7.088951699e-07,6.196477452e-07,3.417975369e-07,2.520352954e-01,9.982638009e-01,-2.889347994e+00
5.555555556e-01,7.397492976e-07,6.007989193e-07,4.313668703e-07,3.113486050e-01,9.998242766e-01,-2.831052425e+00
5.656565657e-01,7.646395876e-07,5.661426338e-07,5.137644035e-07,3.684668038e-01,9.998269357e-01,-2.771499770e+00
5.757575758e-01,8.189404991e-07,5.384206738e-07,6.026541625e-07,4.208154540e-01,9.868105631e-01,-2.718581171e+00
5.858585859e-01,8.352246965e-07,4.787293455e-07,6.842314227e-07,4.801492991e-01,9.998237606e-01,-2.663957162e+00
5.959595960e-01,8.654520783e-07,4.173972369e-07,7.587541152e-07,5.339348339e-01,1.000614599e+00,-2.607034387e+00
6.060606061e-01,9.343341890e-07,3.506679376e-07,8.423177651e-07,5.881532455e-01,9.765204214e-01,-2.562190668e+00
6.161616162e-01,9.641147682e-07,2.737474489e-07,9.228872980e-07,6.412213556e-01,9.984611062e-01,-2.502995613e+00
6.262626263e-01,9.973546927e-07,1.846458210e-07,9.816227151e-07,6.924331353e-01,1.001487183e+00,-2.441662871e+00
6.363636364e-01,1.063831590e-06,9.013843180e-08,1.055689714e-06,7.428097317e-01,9.959573501e-01,-2.394534677e+00
6.464646465e-01,1.104740775e-06,-1.588234119e-08,1.104444760e-06,7.925878605e-01,9.998354146e-01,-2.352073643e+00
6.565656566e-01,1.157072207e-06,-1.283540346e-07,1.149741708e-06,8.409866340e-01,9.998374034e-01,-2.308277636e+00
6.666666667e-01,1.226923294e-06,-2.523872017e-07,1.200656383e-06,8.889937140e-01,9.999781706e-01,-2.249304795e+00
6.767676768e-01,1.272463255e-06,-3.762245696e-07,1.215351719e-06,9.355003713e-01,9.998338484e-01,-2.210351783e+00
6.868686869e-01,1.344716899e-06,-5.064435921e-07,1.242617360e-06,9.789023032e-01,9.978740115e-01,-2.154848287e+00
6.969696970e-01,1.421658618e-06,-6.573792244e-07,1.259539652e-06,1.025912973e+00,9.993749892e-01,-2.116088868e+00
7.070707071e-01,1.472281925e-06,-7.971437903e-07,1.238518668e-06,1.071339101e+00,1.000404199e+00,-2.069503339e+00
7.171717172e-01,1.544474160e-06,-9.452869963e-07,1.221066883e-06,1.114787073e+00,9.998263049e-01,-2.030627069e+00
7.272727273e-01,1.600407304e-06,-1.085010740e-06,1.176078074e-06,1.157970185e+00,9.998251529e-01,-1.982027709e+00
7.373737374e-01,1.668487986e-06,-1.229705121e-06,1.124861177e-06,1.200346509e+00,9.988561802e-01,-1.939953645e+00
7.474747475e-01,1.738871804e-06,-1.378842973e-06,1.058948721e-06,1.243335973e+00,9.998189432e-01,-1.896742985e+00
7.575757576e-01,1.821513572e-06,-1.533318102e-06,9.826556605e-07,1.285831697e+00,9.998138500e-01,-1.854680277e+00
7.676767677e-01,1.881426458e-06,-1.663929569e-06,8.786505693e-07,1.327875883e+00,1.000130356e+00,-1.814353811e+00
7.777777778e-01,1.941180660e-06,-1.787023134e-06,7.571124349e-07,1.370423503e+00,9.997994276e-01,-1.771289520e+00
7.878787879e-01,2.007482428e-06,-1.908254982e-06,6.219856738e-07,1.413253254e+00,9.997912375e-01,-1.727566698e+00
7.979797980e-01,2.064989430e-06,-2.010739737e-06,4.687808820e-07,1.456272742e+00,9.998415117e-01,-1.686455779e+00
8.080808081e-01,2.133008935e-06,-2.114676300e-06,3.032876244e-07,1.499571848e+00,1.001549675e+00,-1.641254965e+00
8.181818182e-01,2.221669378e-06,-2.218088425e-06,1.161503639e-07,1.544637682e+00,9.997560734e-01,-1.596637909e+00
8.282828283e-01,2.274726799e-06,-2.272387086e-06,-8.932060757e-08,-1.551152964e+00,9.997428571e-01,-1.550812998e+00
8.383838384e-01,2.327857883e-06,-2.306400022e-06,-3.105750052e-07,-1.503869954e+00,9.997245911e-01,-1.503727350e+00
8.484848485e-01,2.369515197e-06,-2.304509990e-06,-5.428896465e-07,-1.455116960e+00,9.991886778e-01,-1.454719472e+00
8.585858586e-01,2.452255140e-06,-2.319411816e-06,-8.032990430e-07,-1.404092227e+00,1.000947846e+00,-1.403825962e+00
8.686868687e-01,2.495380311e-06,-2.253415138e-06,-1.067029724e-06,-1.349677622e+00,9.991572800e-01,-1.349489937e+00
8.787878788e-01,2.544224573e-06,-2.159228120e-06,-1.343804708e-06,-1.292449096e+00,9.996135934e-01,-1.292852835e+00
8.888888889e-01,2.631307659e-06,-2.037603781e-06,-1.637167258e-06,-1.232367668e+00,9.933606057e-01,-1.233123998e+00
8.989898990e-01,2.634344064e-06,-1.813729231e-06,-1.908160555e-06,-1.165414028e+00,9.993457135e-01,-1.164294794e+00
9.090909091e-01,2.683576961e-06,-1.550218579e-06,-2.188075842e-06,-1.093597075e+00,9.992546243e-01,-1.094125421e+00
9.191919192e-01,2.708059411e-06,-1.195924031e-06,-2.422476422e-06,-1.014686897e+00,9.976136344e-01,-1.015487998e+00
9.292929293e-01,2.749788985e-06,-7.770582994e-07,-2.635631330e-06,-9.287507867e-01,9.992745115e-01,-9.282490957e-01
9.393939394e-01,2.770821082e-06,-2.640086527e-07,-2.756091982e-06,-8.331479419e-01,9.992373541e-01,-8.265238990e-01
9.494949495e-01,2.768387274e-06,3.236169193e-07,-2.745967731e-06,-7.267428780e-01,9.987661039e-01,-7.285367079e-01
9.595959596e-01,2.805190204e-06,9.656208355e-07,-2.639318274e-06,-6.100314176e-01,1.001862044e+00,-6.120179630e-01
9.696969697e-01,2.850796527e-06,1.638628990e-06,-2.331836043e-06,-4.791234280e-01,9.997245519e-01,-4.785782302e-01
9.797979798e-01,2.826966157e-06,2.208037220e-06,-1.761984407e-06,-3.367560671e-01,9.992664589e-01,-3.335078042e-01
9.898989899e-01,2.834474231e-06,2.635754845e-06,-1.040627569e-06,-1.880129770e-01,9.997426415e-01,-1.833322001e-01
1.000000000e+00,2.859378942e-06,2.850749389e-06,-1.694793740e-07,-2.969046100e-02,9.987423308e-01,-3.342489768e-02
