# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
4.848484848e-01,2.508419936e-04,-1.336676893e-04,2.069282467e-04,1.072163660e+00,9.820763816e-01,1.080396018e+00
4.949494949e-01,2.623719854e-04,-1.604913413e-04,2.016717840e-04,1.121486941e+00,9.823388662e-01,1.120300646e+00
5.050505051e-01,2.721942896e-04,-1.849984202e-04,1.922217114e-04,1.168524044e+00,9.801227330e-01,1.190578677e+00
5.151515152e-01,2.823099441e-04,-2.098285174e-04,1.814797495e-04,1.214257135e+00,9.826855123e-01,1.223422252e+00
5.252525253e-01,2.938042396e-04,-2.347483181e-04,1.643526613e-04,1.265392122e+00,9.753548120e-01,1.269109930e+00
5.353535354e-01,3.010976225e-04,-2.554445895e-04,1.445235176e-04,1.313360377e+00,9.747484425e-01,1.303658223e+00
5.454545455e-01,3.090396829e-04,-2.762169064e-04,1.213187933e-04,1.363871541e+00,9.762025113e-01,1.390239823e+00
5.555555556e-01,3.161380158e-04,-2.911291279e-04,9.507503898e-05,1.412969148e+00,9.687553662e-01,1.414887931e+00
5.656565657e-01,3.208953531e-04,-3.035960056e-04,6.522224255e-05,1.464988372e+00,9.676765452e-01,1.464987146e+00
5.757575758e-01,3.250317831e-04,-3.129504377e-04,3.412047295e-05,1.516496626e+00,9.685360281e-01,1.520183101e+00
5.858585859e-01,3.292719962e-04,-3.177150266e-04,-8.704455004e-07,-1.569426478e+00,9.649050715e-01,1.578038626e+00
5.959595960e-01,3.292061645e-04,-3.145097369e-04,-3.641613703e-05,-1.513159487e+00,9.617407247e-01,1.632181613e+00
6.060606061e-01,3.290887540e-04,-3.055571112e-04,-7.493612527e-05,-1.450547486e+00,9.560089019e-01,1.692187228e+00
6.161616162e-01,3.307357691e-04,-2.900925950e-04,-1.138875137e-04,-1.383745150e+00,9.422850294e-01,1.761933293e+00
6.262626263e-01,3.284923469e-04,-2.689337727e-04,-1.507498193e-04,-1.315344291e+00,9.385400716e-01,1.829961161e+00
6.363636364e-01,3.250133271e-04,-2.377226628e-04,-1.873627976e-04,-1.237057421e+00,9.312935283e-01,1.896046082e+00
6.464646465e-01,3.215931597e-04,-1.987840643e-04,-2.187701636e-04,-1.154183157e+00,9.191534172e-01,2.112360291e+00
6.565656566e-01,3.171134454e-04,-1.483634647e-04,-2.460103888e-04,-1.056738012e+00,9.059384861e-01,2.072939599e+00
6.666666667e-01,3.126005199e-04,-8.843394424e-05,-2.623105844e-04,-9.479820046e-01,8.855281341e-01,2.201175994e+00
6.767676768e-01,3.045539320e-04,-2.057671582e-05,-2.636918086e-04,-8.243358588e-01,8.684616940e-01,2.303625085e+00
6.868686869e-01,2.961149009e-04,5.132433050e-05,-2.455059580e-04,-6.823545342e-01,8.470137795e-01,2.526679308e+00
6.969696970e-01,2.902246132e-04,1.212228958e-04,-2.059958897e-04,-5.194480619e-01,8.235599129e-01,1.428714458e+00
7.070707071e-01,2.810949093e-04,1.773449648e-04,-1.403945665e-04,-3.348133537e-01,8.046744798e-01,6.065518575e-01
7.171717172e-01,2.741964706e-04,2.078258476e-04,-5.769008434e-05,-1.353856038e-01,7.866050434e-01,1.613647732e-01
7.272727273e-01,2.667505796e-04,2.067903711e-04,2.795734792e-05,6.719088499e-02,7.822726472e-01,2.099667474e-01
7.373737374e-01,2.586019736e-04,1.762546735e-04,1.033374737e-04,2.651411770e-01,7.900725667e-01,-1.109862431e+00
7.474747475e-01,2.498096201e-04,1.263214892e-04,1.575883959e-04,4.475429123e-01,8.084891470e-01,-9.195150237e-01
7.575757576e-01,2.395411850e-04,6.813569761e-05,1.864302513e-04,6.102009488e-01,8.286303155e-01,-2.557080675e+00
7.676767677e-01,2.296425651e-04,1.242228147e-05,1.954911986e-04,7.536688522e-01,8.530016259e-01,-2.391267200e+00
7.777777778e-01,2.209237257e-04,-3.395040302e-05,1.898335723e-04,8.738841684e-01,8.729056709e-01,-2.238526852e+00
7.878787879e-01,2.126221414e-04,-7.177324886e-05,1.748535597e-04,9.801506391e-01,8.889526802e-01,-2.122950034e+00
7.979797980e-01,2.047501070e-04,-9.995227076e-05,1.536518287e-04,1.073765496e+00,8.952436341e-01,-2.089891631e+00
8.080808081e-01,1.976362625e-04,-1.212962298e-04,1.344737302e-04,1.152359548e+00,9.163123467e-01,-2.046254289e+00
8.181818182e-01,1.898695150e-04,-1.355907501e-04,1.112859069e-04,1.227163799e+00,9.238560455e-01,-1.850744614e+00
8.282828283e-01,1.817591794e-04,-1.439942665e-04,8.983172125e-05,1.291908121e+00,9.337501901e-01,-1.836438100e+00
8.383838384e-01,1.748698901e-04,-1.489127103e-04,6.985215134e-05,1.351492300e+00,9.405962890e-01,-1.821122035e+00
8.484848485e-01,1.677303473e-04,-1.478715107e-04,5.104858275e-05,1.404590111e+00,9.326583150e-01,-1.743463839e+00
8.585858586e-01,1.606057848e-04,-1.492283188e-04,3.363393085e-05,1.459955558e+00,9.524667634e-01,-1.681791599e+00
8.686868687e-01,1.534683579e-04,-1.455738485e-04,1.896586407e-05,1.506019457e+00,9.565758124e-01,-1.630597822e+00
