# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
4.848484848e-01,4.944325798e-05,-1.822168216e-06,2.413636556e-07,1.504949850e+00,3.717562812e-02,-9.595176364e-02
4.949494949e-01,5.076155481e-05,-1.898558103e-06,5.250003545e-08,1.556973558e+00,3.741579334e-02,-5.480286286e-02
5.050505051e-01,5.315417894e-05,-1.971412457e-06,-1.524945868e-07,-1.532196712e+00,3.719936333e-02,5.976894471e-02
5.151515152e-01,5.555253709e-05,-2.026374660e-06,-3.722135332e-07,-1.479966596e+00,3.708698295e-02,1.238482479e-01
5.252525253e-01,5.842471435e-05,-2.059301655e-06,-6.103237867e-07,-1.426732817e+00,3.676253166e-02,1.892504840e-01
5.353535354e-01,6.200228560e-05,-2.071709168e-06,-8.662097989e-07,-1.372784635e+00,3.621650754e-02,2.011764100e-01
5.454545455e-01,6.588105427e-05,-2.060212308e-06,-1.130538097e-06,-1.319855457e+00,3.567064034e-02,3.311400732e-01
5.555555556e-01,7.043129855e-05,-2.014202691e-06,-1.405184242e-06,-1.266226858e+00,3.486976006e-02,2.828416468e-01
5.656565657e-01,7.511949194e-05,-1.925566546e-06,-1.681297803e-06,-1.211907267e+00,3.402952024e-02,3.498437817e-01
5.757575758e-01,8.187011519e-05,-1.832497475e-06,-1.969689663e-06,-1.160063849e+00,3.286060980e-02,4.238478591e-01
5.858585859e-01,8.831112196e-05,-1.674237750e-06,-2.239783849e-06,-1.106347660e+00,3.166501859e-02,4.778266722e-01
5.959595960e-01,9.579210449e-05,-1.488784232e-06,-2.502725631e-06,-1.053715820e+00,3.039982844e-02,5.023598767e-01
6.060606061e-01,1.046653895e-04,-1.268674544e-06,-2.770589440e-06,-1.000103449e+00,2.911415919e-02,5.697608195e-01
6.161616162e-01,1.132454940e-04,-1.005165853e-06,-2.971315970e-06,-9.485005195e-01,2.769849987e-02,6.265025631e-01
6.262626263e-01,1.243616304e-04,-7.245282770e-07,-3.189289879e-06,-8.970902004e-01,2.629872338e-02,6.682983297e-01
6.363636364e-01,1.356617125e-04,-4.042328877e-07,-3.331973074e-06,-8.457628469e-01,2.474098317e-02,7.253864446e-01
6.464646465e-01,1.478476941e-04,-6.875116459e-08,-3.437073504e-06,-7.953982401e-01,2.325204370e-02,7.774435944e-01
6.565656566e-01,1.609697292e-04,2.852725588e-07,-3.494802435e-06,-7.446746193e-01,2.178314015e-02,8.346885559e-01
6.666666667e-01,1.750029871e-04,6.377397496e-07,-3.500183108e-06,-6.952857428e-01,2.032998122e-02,8.568935288e-01
6.767676768e-01,1.898454312e-04,9.828072801e-07,-3.420148882e-06,-6.454888155e-01,1.874449683e-02,9.085957307e-01
6.868686869e-01,2.044305490e-04,1.315583761e-06,-3.300214559e-06,-5.957332567e-01,1.737886198e-02,9.729645753e-01
6.969696970e-01,2.191228781e-04,1.603582286e-06,-3.121392110e-06,-5.481088325e-01,1.601481078e-02,1.006987976e+00
7.070707071e-01,2.367530675e-04,1.880495682e-06,-2.929338440e-06,-5.000496641e-01,1.470303852e-02,1.078563755e+00
7.171717172e-01,2.518220977e-04,2.086097207e-06,-2.648810328e-06,-4.518434398e-01,1.338900030e-02,1.153094340e+00
7.272727273e-01,2.687353991e-04,2.263772168e-06,-2.368728476e-06,-4.040254002e-01,1.219233957e-02,1.188043780e+00
7.373737374e-01,2.857174668e-04,2.395030161e-06,-2.041676758e-06,-3.529613743e-01,1.101493591e-02,1.218319042e+00
7.474747475e-01,2.998197424e-04,2.433002850e-06,-1.714106653e-06,-3.068775700e-01,9.926574041e-03,1.252890543e+00
7.575757576e-01,3.153154268e-04,2.448408583e-06,-1.393355551e-06,-2.586892747e-01,8.934279982e-03,1.313668914e+00
7.676767677e-01,3.290263818e-04,2.396098773e-06,-1.058045033e-06,-2.079106780e-01,7.960769181e-03,1.348242631e+00
7.777777778e-01,3.439748905e-04,2.306079993e-06,-7.510648681e-07,-1.574274712e-01,7.050819308e-03,1.423349154e+00
7.878787879e-01,3.546331152e-04,2.171250557e-06,-4.730012733e-07,-1.072480746e-01,6.266122177e-03,1.475715114e+00
7.979797980e-01,3.652997832e-04,1.994577200e-06,-2.138827862e-07,-5.341197184e-02,5.491412997e-03,1.519856318e+00
8.080808081e-01,3.756114967e-04,1.810093091e-06,6.494146221e-09,1.793863086e-03,4.819087692e-03,1.573891158e+00
8.181818182e-01,3.818800966e-04,1.573157634e-06,1.874072160e-07,5.928463731e-02,4.148634746e-03,1.626827384e+00
8.282828283e-01,3.878158591e-04,1.358634543e-06,3.367946169e-07,1.214968346e-01,3.609332962e-03,1.686343280e+00
8.383838384e-01,3.926156696e-04,1.109227728e-06,4.409224730e-07,1.891764068e-01,3.040248891e-03,1.742867603e+00
8.484848485e-01,3.948199153e-04,8.950308710e-07,5.069128044e-07,2.576597443e-01,2.605266572e-03,1.821554596e+00
8.585858586e-01,3.949848643e-04,6.837855389e-07,5.394650837e-07,3.339799749e-01,2.205066748e-03,1.918155449e+00
8.686868687e-01,3.933435704e-04,4.839816098e-07,5.419774389e-07,4.209332363e-01,1.847292861e-03,1.959002206e+00
8.787878788e-01,3.913290405e-04,3.082805500e-07,5.164508560e-07,5.163218018e-01,1.536976490e-03,2.113497676e+00
8.888888889e-01,3.854887796e-04,1.551278968e-07,4.704390469e-07,6.261365206e-01,1.285007556e-03,2.227476715e+00
8.989898990e-01,3.797270713e-04,3.080606827e-08,4.032367078e-07,7.472737274e-01,1.065006347e-03,2.312338323e+00
9.090909091e-01,3.717981372e-04,-6.876531547e-08,3.245120663e-07,8.898055687e-01,8.921988669e-04,2.410272746e+00
9.191919192e-01,3.636751309e-04,-1.399306059e-07,2.399683108e-07,1.049356237e+00,7.638315670e-04,1.294249320e+00
9.292929293e-01,3.549153829e-04,-1.876719717e-07,1.533187796e-07,1.228300470e+00,6.828033249e-04,7.616085783e-01
9.393939394e-01,3.462775404e-04,-2.079410322e-07,6.583934589e-08,1.417477066e+00,6.298858385e-04,1.997405195e-02
9.494949495e-01,3.367837696e-04,-2.091937779e-07,-1.694358227e-08,-1.530387198e+00,6.231856910e-04,-1.173335770e-01
9.595959596e-01,3.265737231e-04,-1.888354710e-07,-9.512917785e-08,-1.337467785e+00,6.474605398e-04,-6.486725266e-01
9.696969697e-01,3.136754262e-04,-1.512818547e-07,-1.636627023e-07,-1.158451762e+00,7.105161048e-04,-1.156402432e+00
9.797979798e-01,3.023545634e-04,-9.805869325e-08,-2.219539435e-07,-9.934040680e-01,8.025348627e-04,-2.463892901e+00
9.898989899e-01,2.893691860e-04,-3.506131899e-08,-2.681981435e-07,-8.503941547e-01,9.347235856e-04,-2.399054283e+00
1.000000000e+00,2.762850910e-04,3.771602356e-08,-3.018274940e-07,-7.232409133e-01,1.100945552e-03,-2.344377837e+00
