# Phase, F_N(4.94),Q_N(4.94),U_N(4.94), PA, dop, PA_org
0.000000000e+00,2.622914856e-04,-6.064310500e-05,2.358961715e-04,9.112115168e-01,9.286096220e-01,-2.311914931e+00
1.010101010e-02,2.590274402e-04,-1.026304573e-04,2.201206967e-04,1.003539114e+00,9.376250144e-01,-2.138801952e+00
2.020202020e-02,2.568254654e-04,-1.372113485e-04,1.995130130e-04,1.086620368e+00,9.428242388e-01,-2.087936181e+00
3.030303030e-02,2.532631773e-04,-1.652220853e-04,1.747335028e-04,1.164111688e+00,9.495220403e-01,-1.973625032e+00
4.040404040e-02,2.504275898e-04,-1.862690825e-04,1.488196225e-04,1.233746242e+00,9.520462461e-01,-1.917603478e+00
5.050505051e-02,2.452356324e-04,-2.012631191e-04,1.216198504e-04,1.299014976e+00,9.588971920e-01,-1.872244270e+00
6.060606061e-02,2.392765196e-04,-2.103343843e-04,9.466149590e-05,1.359347573e+00,9.639649687e-01,-1.776362452e+00
7.070707071e-02,2.335883613e-04,-2.159049642e-04,6.890955854e-05,1.416323139e+00,9.702329596e-01,-1.737017261e+00
8.080808081e-02,2.290853601e-04,-2.178957775e-04,4.427668696e-05,1.470560452e+00,9.705937272e-01,-1.671890987e+00
9.090909091e-02,2.240717681e-04,-2.166263515e-04,2.091573670e-05,1.522669441e+00,9.712680024e-01,-1.619158293e+00
1.010101010e-01,2.191650903e-04,-2.132729693e-04,-1.048489600e-06,-1.568338254e+00,9.731273642e-01,-1.569467872e+00
1.111111111e-01,2.118939714e-04,-2.054227080e-04,-2.008577238e-05,-1.522062359e+00,9.740831309e-01,-1.520164108e+00
1.212121212e-01,2.065022482e-04,-1.976582383e-04,-3.817254722e-05,-1.475408651e+00,9.748586974e-01,-1.474917283e+00
1.313131313e-01,2.004569051e-04,-1.878118908e-04,-5.469438473e-05,-1.429105597e+00,9.758399665e-01,-1.428536764e+00
1.414141414e-01,1.943810707e-04,-1.774571493e-04,-6.873059305e-05,-1.386037607e+00,9.790162056e-01,-1.388275623e+00
1.515151515e-01,1.880166491e-04,-1.653015625e-04,-8.132872046e-05,-1.342181895e+00,9.798351241e-01,-1.358202734e+00
1.616161616e-01,1.816125737e-04,-1.522521407e-04,-9.218200478e-05,-1.298585443e+00,9.800192006e-01,-1.317803720e+00
1.717171717e-01,1.748396595e-04,-1.387230987e-04,-1.012441238e-04,-1.255563268e+00,9.822688045e-01,-1.247234133e+00
1.818181818e-01,1.679991072e-04,-1.244858127e-04,-1.082666601e-04,-1.212883076e+00,9.820287907e-01,-1.203514988e+00
1.919191919e-01,1.616835509e-04,-1.104453765e-04,-1.142132846e-04,-1.169712180e+00,9.826602816e-01,-1.192539701e+00
2.020202020e-01,1.556916007e-04,-9.655576225e-05,-1.186701457e-04,-1.126902087e+00,9.826409966e-01,-1.153674928e+00
2.121212121e-01,1.481144420e-04,-8.182164647e-05,-1.204147720e-04,-1.083814958e+00,9.829109471e-01,-1.062285287e+00
2.222222222e-01,1.430213420e-04,-6.865781852e-05,-1.227446194e-04,-1.040396754e+00,9.833628691e-01,-1.046135468e+00
2.323232323e-01,1.366026296e-04,-5.526440718e-05,-1.224194130e-04,-9.974214777e-01,9.832574379e-01,-9.972603228e-01
2.424242424e-01,1.305132909e-04,-4.250254565e-05,-1.220418039e-04,-9.529610730e-01,9.901755183e-01,-9.371074374e-01
2.525252525e-01,1.239241886e-04,-2.978343635e-05,-1.183130465e-04,-9.087032406e-01,9.845069216e-01,-9.425538577e-01
2.626262626e-01,1.188965049e-04,-1.820011364e-05,-1.154676074e-04,-8.635655313e-01,9.831505740e-01,-8.909037131e-01
2.727272727e-01,1.131913251e-04,-7.196237342e-06,-1.112172743e-04,-8.177052840e-01,9.846147202e-01,-8.522779133e-01
2.828282828e-01,1.077057238e-04,3.239985538e-06,-1.060227458e-04,-7.701232453e-01,9.848338265e-01,-7.894392751e-01
2.929292929e-01,1.024670962e-04,1.239128700e-05,-1.002983913e-04,-7.239374834e-01,9.862768866e-01,-7.509453885e-01
3.030303030e-01,9.734928772e-05,2.102204878e-05,-9.362407296e-05,-6.749614092e-01,9.856791624e-01,-6.664956414e-01
3.131313131e-01,9.246308057e-05,2.870425562e-05,-8.632206024e-05,-6.248866590e-01,9.838456923e-01,-6.302061963e-01
3.232323232e-01,8.775578173e-05,3.540551427e-05,-7.925922289e-05,-5.753428292e-01,9.891962353e-01,-5.633398860e-01
3.333333333e-01,8.464363139e-05,4.165071208e-05,-7.254637346e-05,-5.248098089e-01,9.882917640e-01,-5.135633886e-01
3.434343434e-01,8.123605903e-05,4.669790835e-05,-6.514696881e-05,-4.744391327e-01,9.866922338e-01,-4.663534065e-01
3.535353535e-01,7.725218292e-05,5.085372007e-05,-5.693590762e-05,-4.208824277e-01,9.881923797e-01,-4.389935214e-01
3.636363636e-01,7.464804075e-05,5.455779784e-05,-4.950600665e-05,-3.684455556e-01,9.869097093e-01,-3.718883725e-01
3.737373737e-01,7.321920777e-05,5.837613774e-05,-4.253129778e-05,-3.148232164e-01,9.864436256e-01,-3.490325167e-01
3.838383838e-01,7.070380137e-05,6.041518935e-05,-3.482774487e-05,-2.614704075e-01,9.862974116e-01,-2.570309895e-01
3.939393939e-01,6.883877814e-05,6.211283602e-05,-2.699251144e-05,-2.049751823e-01,9.838123808e-01,-2.042103585e-01
4.040404040e-01,6.732039878e-05,6.332039457e-05,-1.948490824e-05,-1.492618000e-01,9.841079517e-01,-1.862896899e-01
4.141414141e-01,6.648746037e-05,6.428619477e-05,-1.227727717e-05,-9.435306279e-02,9.843667202e-01,-1.306961838e-01
4.242424242e-01,6.596803791e-05,6.473742578e-05,-5.100446262e-06,-3.931212843e-02,9.843863876e-01,-3.777958482e-02
4.343434343e-01,6.574139076e-05,6.475466113e-05,2.146850790e-06,1.657073555e-02,9.855319234e-01,3.487567743e-02
4.444444444e-01,6.604250941e-05,6.432341504e-05,9.528210422e-06,7.353016880e-02,9.845975259e-01,8.057790324e-02
4.545454545e-01,6.690551239e-05,6.370946495e-05,1.674357589e-05,1.284998332e-01,9.845665972e-01,1.471296050e-01
4.646464646e-01,6.891974049e-05,6.336774723e-05,2.434173162e-05,1.833773825e-01,9.849454791e-01,2.144136912e-01
4.747474747e-01,6.954737071e-05,6.081709071e-05,3.137225925e-05,2.381219898e-01,9.839622791e-01,2.418295789e-01
4.848484848e-01,7.119729088e-05,5.930266204e-05,3.884203799e-05,2.899339528e-01,9.956955967e-01,3.086171586e-01
4.949494949e-01,7.347839582e-05,5.589260172e-05,4.639116395e-05,3.463855307e-01,9.885480650e-01,4.297242456e-01
5.050505051e-01,7.635030255e-05,5.242633479e-05,5.414338813e-05,4.007543939e-01,9.871074733e-01,4.349940534e-01
5.151515152e-01,7.933926323e-05,4.835566429e-05,6.165412077e-05,4.528493752e-01,9.875938339e-01,4.359456593e-01
5.252525253e-01,8.277326444e-05,4.339836967e-05,6.934048229e-05,5.057845651e-01,9.882625505e-01,4.941867938e-01
5.353535354e-01,8.725351232e-05,3.821152994e-05,7.732439663e-05,5.559111023e-01,9.885069172e-01,5.576491946e-01
5.454545455e-01,9.101492595e-05,3.156000652e-05,8.416480249e-05,6.060221742e-01,9.876118392e-01,5.817137985e-01
5.555555556e-01,9.500632219e-05,2.406878949e-05,9.057299264e-05,6.555300398e-01,9.864233364e-01,6.405043091e-01
5.656565657e-01,1.002771519e-04,1.596951813e-05,9.745828931e-05,7.041898342e-01,9.848505233e-01,6.870204754e-01
5.757575758e-01,1.052702846e-04,6.935309559e-06,1.034400675e-04,7.519249374e-01,9.848201872e-01,7.420547298e-01
5.858585859e-01,1.113999359e-04,-2.984974568e-06,1.096599585e-04,7.990049425e-01,9.847454217e-01,8.346660137e-01
5.959595960e-01,1.161848687e-04,-1.369853089e-05,1.136876045e-04,8.453554845e-01,9.855837400e-01,8.333953186e-01
6.060606061e-01,1.226989946e-04,-2.519486704e-05,1.180957171e-04,8.904939682e-01,9.841432221e-01,9.191706009e-01
6.161616162e-01,1.282811053e-04,-3.760858786e-05,1.207335565e-04,9.363852729e-01,9.857688381e-01,9.358708800e-01
6.262626263e-01,1.346597924e-04,-5.002478943e-05,1.223781694e-04,9.794209839e-01,9.817910238e-01,9.816818849e-01
6.363636364e-01,1.403256543e-04,-6.341790479e-05,1.226273340e-04,1.024038600e+00,9.838215369e-01,1.010070219e+00
6.464646465e-01,1.466824111e-04,-7.726678465e-05,1.228736897e-04,1.066072887e+00,9.895429327e-01,1.047667916e+00
6.565656566e-01,1.527139546e-04,-9.093020254e-05,1.193690932e-04,1.110889670e+00,9.826056595e-01,1.104187187e+00
6.666666667e-01,1.594416201e-04,-1.052308758e-04,1.161251953e-04,1.153508952e+00,9.828790724e-01,1.152764507e+00
6.767676768e-01,1.660434486e-04,-1.196461376e-04,1.108975766e-04,1.197061903e+00,9.824919779e-01,1.205691644e+00
6.868686869e-01,1.732880364e-04,-1.341045850e-04,1.044532357e-04,1.239927233e+00,9.809325544e-01,1.244972629e+00
6.969696970e-01,1.787780868e-04,-1.470310978e-04,9.565119908e-05,1.282415160e+00,9.811386330e-01,1.263813930e+00
7.070707071e-01,1.850284099e-04,-1.600413634e-04,8.569618907e-05,1.324989470e+00,9.811511392e-01,1.312129421e+00
7.171717172e-01,1.918978953e-04,-1.729193475e-04,7.369873930e-05,1.369351761e+00,9.795297190e-01,1.375505161e+00
7.272727273e-01,1.985624720e-04,-1.846062070e-04,6.011190625e-05,1.413398983e+00,9.777606713e-01,1.421208101e+00
7.373737374e-01,2.044631337e-04,-1.947017432e-04,4.483099791e-05,1.457641172e+00,9.771754968e-01,1.460008611e+00
7.474747475e-01,2.096041567e-04,-2.028410016e-04,2.741961760e-05,1.503614614e+00,9.765353803e-01,1.503668967e+00
7.575757576e-01,2.166320461e-04,-2.111053784e-04,7.732172823e-06,1.552490971e+00,9.751416662e-01,1.563323439e+00
7.676767677e-01,2.219844195e-04,-2.154474711e-04,-1.254136806e-05,-1.541723738e+00,9.721951857e-01,1.598284393e+00
7.777777778e-01,2.266315158e-04,-2.172498318e-04,-3.482213339e-05,-1.491329211e+00,9.708397584e-01,1.657131196e+00
7.878787879e-01,2.316630113e-04,-2.164829035e-04,-5.878227723e-05,-1.438226213e+00,9.683101797e-01,1.706706635e+00
7.979797980e-01,2.365759100e-04,-2.123898533e-04,-8.439900306e-05,-1.381674437e+00,9.660519364e-01,1.748523649e+00
8.080808081e-01,2.428582722e-04,-2.056444285e-04,-1.113543821e-04,-1.322653287e+00,9.629390414e-01,1.821866783e+00
8.181818182e-01,2.478453683e-04,-1.925398087e-04,-1.378193398e-04,-1.260171716e+00,9.553620911e-01,1.899801019e+00
8.282828283e-01,2.511295440e-04,-1.739885721e-04,-1.646145166e-04,-1.191935958e+00,9.537717927e-01,1.982137848e+00
8.383838384e-01,2.539491892e-04,-1.482925369e-04,-1.897276133e-04,-1.117110660e+00,9.482424698e-01,2.047294697e+00
8.484848485e-01,2.582270371e-04,-1.168740640e-04,-2.128527572e-04,-1.036468039e+00,9.403695201e-01,2.097826007e+00
8.585858586e-01,2.625471754e-04,-7.754069039e-05,-2.292496222e-04,-9.484768073e-01,9.217701787e-01,2.202817873e+00
8.686868687e-01,2.619392716e-04,-3.046207411e-05,-2.412777907e-04,-8.481924863e-01,9.284333453e-01,2.350617162e+00
8.787878788e-01,2.658311359e-04,2.228537726e-05,-2.415622986e-04,-7.394007654e-01,9.125646277e-01,2.416629803e+00
8.888888889e-01,2.656773701e-04,7.751633146e-05,-2.269740313e-04,-6.208476619e-01,9.027707862e-01,2.569977079e+00
8.989898990e-01,2.679731930e-04,1.327541723e-04,-1.972278072e-04,-4.891763098e-01,8.871953287e-01,2.674828491e+00
9.090909091e-01,2.692483693e-04,1.831800678e-04,-1.503809604e-04,-3.436915478e-01,8.802310751e-01,1.268503605e+00
9.191919192e-01,2.711508695e-04,2.195361395e-04,-8.772932774e-05,-1.900860269e-01,8.718985719e-01,1.053227270e+00
9.292929293e-01,2.721713235e-04,2.358732066e-04,-1.398255111e-05,-2.960532696e-02,8.681564338e-01,2.181320405e-01
9.393939394e-01,2.707781171e-04,2.280218454e-04,6.159071208e-05,1.319066299e-01,8.722769777e-01,-3.669952967e-01
9.494949495e-01,2.708748112e-04,2.001593526e-04,1.285140739e-04,2.853861914e-01,8.781353164e-01,-1.197892674e+00
9.595959596e-01,2.684767005e-04,1.533609328e-04,1.788171828e-04,4.309415039e-01,8.774471232e-01,-1.946756920e+00
9.696969697e-01,2.685031058e-04,1.000855688e-04,2.186644023e-04,5.707733502e-01,8.956368335e-01,-2.565576822e+00
9.797979798e-01,2.665862047e-04,4.191261718e-05,2.380949816e-04,6.982741779e-01,9.068580407e-01,-2.513514818e+00
9.898989899e-01,2.651017385e-04,-1.215153054e-05,2.425540953e-04,8.104263529e-01,9.160946701e-01,-2.369840277e+00
1.000000000e+00,2.622914856e-04,-6.064310500e-05,2.358961715e-04,9.112115168e-01,9.286096220e-01,-2.311914931e+00
