#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.0203574656319     -0.264651787636     
-0.975              0.021529606824      -0.256863319357     
-0.95               0.0227171033216     -0.249143689232     
-0.925              0.0238894045957     -0.242033579378     
-0.9                0.0250650850102     -0.235086084618     
-0.875              0.0262482491775     -0.228199652979     
-0.85               0.0274435348716     -0.221280373698     
-0.825              0.0286549956602     -0.214258554296     
-0.8                0.0298855871722     -0.207089369988     
-0.775              0.0311374131765     -0.199746342928     
-0.75               0.0324108392735     -0.192224672208     
-0.725              0.0337050303408     -0.184537276186     
-0.7                0.0350175273095     -0.176712257595     
-0.675              0.0363445896035     -0.168787882902     
-0.65               0.0376816009286     -0.160806384341     
-0.625              0.0390231652343     -0.152814289005     
-0.6                0.0403635365583     -0.144854031071     
-0.575              0.0416969998911     -0.136960946471     
-0.55               0.0430181176704     -0.129168443784     
-0.525              0.0443216186376     -0.121503334523     
-0.5                0.0456028026297     -0.113983615134     
-0.475              0.0468576936988     -0.106619430262     
-0.45               0.0480828098201     -0.099424791698     
-0.425              0.0492751799122     -0.0924022317025    
-0.4                0.0504324973807     -0.0855511460552    
-0.375              0.0515529276106     -0.0788718669725    
-0.35               0.0526352952287     -0.0723597117879    
-0.325              0.0536787488559     -0.0660101591607    
-0.3                0.0546827642514     -0.0598163575112    
-0.275              0.0556470877312     -0.0537739744122    
-0.25               0.0565719254622     -0.0478738661419    
-0.225              0.0574578307289     -0.0421076681158    
-0.2                0.0583053878963     -0.036468768882     
-0.175              0.0591151988886     -0.030951393349     
-0.15               0.0598881326511     -0.0255479293874    
-0.125              0.0606252846        -0.02025059046      
-0.1                0.0613277593011     -0.0150527740206    
-0.075              0.0619966613961     -0.00994888926779   
-0.05               0.0626331267064     -0.00493345249068   
-0.025              0.0632383688027     1.83503901045e-08   
