#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.0210010058672     -0.207678664008     
-0.975              0.0222742361025     -0.198750268245     
-0.95               0.0235438927758     -0.190177724881     
-0.925              0.0247883979651     -0.182520988321     
-0.9                0.0260216360856     -0.175289288929     
-0.875              0.0272465478134     -0.168362928265     
-0.85               0.0284665143412     -0.161634228016     
-0.825              0.0296843012629     -0.155022227106     
-0.8                0.0309015887195     -0.148472550826     
-0.775              0.0321192196193     -0.141951397263     
-0.75               0.0333366781504     -0.135443104941     
-0.725              0.0345524286842     -0.128949647867     
-0.7                0.0357638373985     -0.122482145404     
-0.675              0.0369674389237     -0.116060628763     
-0.65               0.038159308941      -0.109709203083     
-0.625              0.0393351582466     -0.103452629812     
-0.6                0.0404906190643     -0.0973141237565    
-0.575              0.0416215483614     -0.0913124702282    
-0.55               0.0427242067104     -0.0854649442821    
-0.525              0.0437950963703     -0.0797848477707    
-0.5                0.0448312839742     -0.0742807328328    
-0.475              0.0458304010605     -0.0689531132595    
-0.45               0.0467905521711     -0.0638091333879    
-0.425              0.047710366003      -0.0588487830197    
-0.4                0.0485888793862     -0.0540673488018    
-0.375              0.0494253862296     -0.0494608027398    
-0.35               0.0502197756233     -0.0450233604121    
-0.325              0.0509722790437     -0.0407513525731    
-0.3                0.0516833078687     -0.0366388548231    
-0.275              0.0523533347309     -0.032679955811     
-0.25               0.0529831443489     -0.028865395072     
-0.225              0.0535737923708     -0.0251876661682    
-0.2                0.0541263694701     -0.0216411005074    
-0.175              0.0546419769019     -0.0182208914835    
-0.15               0.0551218385388     -0.0149206517457    
-0.125              0.0555672565577     -0.0117332853367    
-0.1                0.0559795343512     -0.00865261775739   
-0.075              0.0563599753053     -0.00567332803018   
-0.05               0.0567098884739     -0.00279065011689   
-0.025              0.0570305988268     -3.33519685392e-08  
