#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.0182013694977     -0.329163262601     
-0.975              0.0192053255952     -0.32388441087      
-0.95               0.0201803418001     -0.316777648264     
-0.925              0.0212037950163     -0.311203703737     
-0.9                0.0222159960524     -0.304437675195     
-0.875              0.023259663277      -0.297640785387     
-0.85               0.0243398536745     -0.290691182065     
-0.825              0.0254538813699     -0.283285752345     
-0.8                0.0266049942577     -0.275349629208     
-0.775              0.0278032467493     -0.267034144259     
-0.75               0.0290508033345     -0.258323700915     
-0.725              0.030346414146      -0.249193549579     
-0.7                0.0316890933488     -0.239672111877     
-0.675              0.0330769513105     -0.229867510279     
-0.65               0.0345058140631     -0.219847686447     
-0.625              0.0359696147095     -0.209673277718     
-0.6                0.0374613150147     -0.199420834        
-0.575              0.0389739686801     -0.189153378699     
-0.55               0.0405004703943     -0.178929069328     
-0.525              0.0420335913157     -0.168794328473     
-0.5                0.0435664949236     -0.158782240283     
-0.475              0.045093353708      -0.148927771244     
-0.45               0.0466089173728     -0.139251092844     
-0.425              0.0481080369067     -0.129763438425     
-0.4                0.0495860410168     -0.120460279005     
-0.375              0.0510386986058     -0.111330083854     
-0.35               0.0524631044365     -0.102378889158     
-0.325              0.0538576187819     -0.0936101226458    
-0.3                0.0552208285092     -0.0850222091753    
-0.275              0.0565513600377     -0.0766127074087    
-0.25               0.0578482057402     -0.068372442099     
-0.225              0.0591106194077     -0.0602883751918    
-0.2                0.0603380570468     -0.0523451785627    
-0.175              0.0615300310263     -0.0445285231581    
-0.15               0.0626865541488     -0.0368312803347    
-0.125              0.0638084511941     -0.0292495964501    
-0.1                0.0648966859747     -0.0217792465105    
-0.075              0.0659522224386     -0.0144170676104    
-0.05               0.0669760245342     -0.00716084322486   
-0.025              0.0679690562097     -9.20396844264e-06  
