#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.0375113811258     0.201443106915      
-0.975              0.0417189362363     0.218997367426      
-0.95               0.0449623566605     0.229907878701      
-0.925              0.0471462033533     0.23715685497       
-0.9                0.0483835937048     0.2416887107        
-0.875              0.0487675077127     0.244296891808      
-0.85               0.0484871981273     0.245555758828      
-0.825              0.0477341642302     0.245837208823      
-0.8                0.0466705296069     0.24535685731       
-0.775              0.0454113142528     0.244287335272      
-0.75               0.044042046161      0.242709205347      
-0.725              0.0426193186492     0.240652425138      
-0.7                0.0411804243891     0.238194596298      
-0.675              0.0397528921629     0.235360668839      
-0.65               0.0383513159055     0.232133821864      
-0.625              0.0369853126998     0.22852920513       
-0.6                0.0356629187269     0.224562766558      
-0.575              0.0343862144203     0.220232249543      
-0.55               0.0331557499768     0.215532272551      
-0.525              0.0319717178662     0.21045130176       
-0.5                0.0308338239894     0.204979160151      
-0.475              0.02974038947       0.199107707113      
-0.45               0.0286894356323     0.192827225782      
-0.425              0.0276789795748     0.18612238409       
-0.4                0.0267070268259     0.178975502877      
-0.375              0.0257716096478     0.171367674812      
-0.35               0.02487081408       0.163277903606      
-0.325              0.0240027326931     0.154683495049      
-0.3                0.023165458058      0.145559813763      
-0.275              0.0223571071886     0.135879725565      
-0.25               0.0215760508616     0.125612866768      
-0.225              0.0208208103888     0.114725895419      
-0.2                0.0200899090705     0.10318204633       
-0.175              0.0193818733807     0.0909404360063     
-0.15               0.0186953812        0.0779560869099     
-0.125              0.0180293257532     0.0641806819033     
-0.1                0.0173826167577     0.0495607906095     
-0.075              0.016754163931      0.0340367579049     
-0.05               0.0161428769904     0.0175415592361     
-0.025              0.0155476656533     -5.85389139282e-07  
