Energies:     7.94328e-06     1.42889e-05     2.57040e-05     4.62381e-05     8.31764e-05     1.49624e-04     2.69153e-04     4.84172e-04     8.70964e-04     1.56675e-03     2.81838e-03     5.06991e-03     9.12011e-03     1.64059e-02     2.95121e-02     5.30884e-02     9.54993e-02     1.71791e-01     3.09030e-01     5.55904e-01     1.00000e+00
   82deg:     2.29755e-07     1.20015e-06     4.93114e-06     1.53693e-05     3.24714e-05     4.56740e-05     5.15721e-05     5.35025e-05     5.28207e-05     4.92881e-05     4.32378e-05     3.55729e-05     2.73498e-05     1.95470e-05     1.28776e-05     7.69452e-06     4.02625e-06     1.70543e-06     4.91535e-07     6.66379e-08     1.97773e-09
  Sc.N.0:     2.29755e-07     1.20015e-06     4.93114e-06     1.53693e-05     3.24714e-05     4.56740e-05     5.15721e-05     5.35025e-05     5.28207e-05     4.92881e-05     4.32378e-05     3.55729e-05     2.73498e-05     1.95470e-05     1.28776e-05     7.69452e-06     4.02625e-06     1.70543e-06     4.91535e-07     6.66379e-08     1.97773e-09
  Sc.N.0:     2.22048e-10     7.29918e-10     2.96403e-09     8.77188e-09     1.27914e-08     4.43386e-09     1.03477e-10     1.83961e-14     5.05694e-22     1.94110e-36     3.47454e-63    4.08472e-112    5.98904e-201     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
  Sc.N.1:     5.60267e-08     2.78627e-07     1.12629e-06     3.39024e-06     6.14656e-06     5.60200e-06     2.73485e-06     7.26996e-07     9.78134e-08     5.60349e-09     1.25929e-10     9.74057e-13     1.42763e-15     3.44921e-19     2.18124e-23     6.19586e-29     3.08526e-36     3.52849e-44     1.38014e-54     1.22091e-68     7.63688e-84
  Sc.N.2:     6.34636e-08     3.22856e-07     1.31018e-06     3.98777e-06     7.71951e-06     8.55937e-06     6.12208e-06     3.13089e-06     1.20699e-06     3.48062e-07     7.07905e-08     9.44465e-09     7.74722e-10     3.70047e-11     9.73960e-13     1.33204e-14     8.41388e-17     1.90733e-19     1.31601e-22     1.69192e-26     3.20410e-31
  Sc.N.3:     4.55759e-08     2.39285e-07     9.79061e-07     3.03485e-06     6.38552e-06     8.69582e-06     8.48002e-06     6.36686e-06     3.79656e-06     1.80975e-06     6.86731e-07     2.05281e-07     4.73739e-08     8.18482e-09     1.01866e-09     8.72168e-11     4.83191e-12     1.57173e-13     2.52834e-15     1.47313e-17     1.72288e-20
  Sc.N.4:     2.79809e-08     1.51625e-07     6.27959e-07     1.99165e-06     4.54228e-06     7.30424e-06     8.83713e-06     8.42803e-06     6.49739e-06     4.10558e-06     2.14354e-06     9.28135e-07     3.32903e-07     9.82222e-08     2.34754e-08     4.41735e-09     6.22280e-10     5.99239e-11     3.32835e-12     7.73665e-14     4.02491e-16
  Sc.N.5:     1.62695e-08     9.05321e-08     3.80377e-07     1.23648e-06     3.01928e-06     5.49763e-06     7.76540e-06     8.79799e-06     8.18447e-06     6.35669e-06     4.17121e-06     2.33028e-06     1.11199e-06     4.52471e-07     1.55656e-07     4.43942e-08     1.00827e-08     1.67987e-09     1.73929e-10     8.05059e-12     8.56373e-14
  Sc.N.6:     9.29027e-09     5.27766e-08     2.25118e-07     7.49835e-07     1.93588e-06     3.87075e-06     6.14805e-06     7.95927e-06     8.57740e-06     7.82218e-06     6.11128e-06     4.12526e-06     2.41732e-06     1.23023e-06     5.40834e-07     2.02219e-07     6.20525e-08     1.44581e-08     2.17063e-09     1.50005e-10     2.38473e-12
  Sc.N.7:     5.27473e-09     3.04501e-08     1.31834e-07     4.49443e-07     1.21491e-06     2.61332e-06     4.55434e-06     6.56354e-06     7.96760e-06     8.27137e-06     7.43040e-06     5.82591e-06     4.00851e-06     2.42444e-06     1.28425e-06     5.87809e-07     2.24792e-07     6.65454e-08     1.29239e-08     1.16608e-09     2.38617e-11
  Sc.N.8:     2.99086e-09     1.74890e-08     7.68079e-08     2.67631e-07     7.52109e-07     1.71652e-06     3.22680e-06     5.08063e-06     6.80762e-06     7.86937e-06     7.93504e-06     7.03844e-06     5.52318e-06     3.84334e-06     2.36505e-06     1.27121e-06     5.77751e-07     2.05783e-07     4.85753e-08     5.33460e-09     1.30521e-10
  Sc.N.9:     1.69659e-09     1.00274e-08     4.46375e-08     1.58740e-07     4.61359e-07     1.10640e-06     2.21592e-06     3.75893e-06     5.47552e-06     6.93355e-06     7.71078e-06     7.59207e-06     6.65610e-06     5.21005e-06     3.63311e-06     2.23101e-06     1.16876e-06     4.84114e-07     1.33734e-07     1.71500e-08     4.80954e-10
 Sc.N.10:     9.63564e-10     5.74763e-09     2.59135e-08     9.39222e-08     2.81193e-07     7.03540e-07     1.48737e-06     2.68937e-06     4.20933e-06     5.76597e-06     6.97795e-06     7.51804e-06     7.25167e-06     6.28002e-06     4.87418e-06     3.35337e-06     1.98218e-06     9.32791e-07     2.93954e-07     4.28290e-08     1.33992e-09
   68deg:     3.63981e-07     1.80135e-06     7.41529e-06     2.27618e-05     4.37167e-05     5.10961e-05     5.36397e-05     5.51438e-05     5.37375e-05     4.94780e-05     4.30512e-05     3.52898e-05     2.70859e-05     1.93297e-05     1.27026e-05     7.55045e-06     3.90845e-06     1.62200e-06     4.51563e-07     5.79770e-08     1.57509e-09
  Sc.N.0:     3.63981e-07     1.80135e-06     7.41529e-06     2.27618e-05     4.37167e-05     5.10961e-05     5.36397e-05     5.51438e-05     5.37375e-05     4.94780e-05     4.30512e-05     3.52898e-05     2.70859e-05     1.93297e-05     1.27026e-05     7.55045e-06     3.90845e-06     1.62200e-06     4.51563e-07     5.79770e-08     1.57509e-09
  Sc.N.0:     5.93009e-08     2.52788e-07     1.03993e-06     3.07772e-06     4.48608e-06     1.55378e-06     3.62112e-08     6.42131e-12     1.75718e-19     6.69028e-34     1.18028e-60    1.35221e-109    1.89466e-198     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
  Sc.N.1:     1.12238e-07     5.30408e-07     2.16183e-06     6.46215e-06     1.07823e-05     7.61626e-06     2.93484e-06     7.03135e-07     8.75521e-08     4.68717e-09     9.95545e-11     7.19769e-13     9.75488e-16     2.26904e-19     1.36257e-23     3.58470e-29     1.73137e-36     1.88446e-44     5.73735e-55     3.00143e-69     1.15939e-84
  Sc.N.2:     8.32509e-08     4.17960e-07     1.70482e-06     5.17653e-06     9.71313e-06     1.01163e-05     7.29304e-06     4.04448e-06     1.72079e-06     5.39985e-07     1.17329e-07     1.65610e-08     1.43012e-09     7.17013e-11     1.97381e-12     2.81897e-14     1.85456e-16     4.32638e-19     3.00615e-22     3.69061e-26     6.21513e-31
  Sc.N.3:     4.86578e-08     2.57665e-07     1.05876e-06     3.28738e-06     6.91246e-06     9.46976e-06     9.51603e-06     7.38847e-06     4.48280e-06     2.13074e-06     7.93899e-07     2.31255e-07     5.19701e-08     8.76927e-09     1.06920e-09     8.98068e-11     4.87298e-12     1.54170e-13     2.37668e-15     1.29356e-17     1.34903e-20
