#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.00909425187485    -0.509769707063     
-0.975              0.00941250541562    -0.508571068692     
-0.95               0.00978976439506    -0.500143939068     
-0.925              0.0101675102698     -0.49460617099      
-0.9                0.0105675256006     -0.489244379327     
-0.875              0.0110116112898     -0.481762489007     
-0.85               0.011489122137      -0.474481507451     
-0.825              0.0120167301861     -0.466040614637     
-0.8                0.0126090687931     -0.455686500401     
-0.775              0.0132735090916     -0.443754986526     
-0.75               0.0140172178503     -0.430670638911     
-0.725              0.0148475955699     -0.416766859695     
-0.7                0.0157746391561     -0.402028536013     
-0.675              0.0168085420825     -0.386370034594     
-0.65               0.0179571181264     -0.369708202021     
-0.625              0.0192270930111     -0.352013953556     
-0.6                0.0206191361277     -0.333536411722     
-0.575              0.022126129736      -0.314780615936     
-0.55               0.0237402945309     -0.296131128248     
-0.525              0.0254526856563     -0.277819816879     
-0.5                0.0272536580807     -0.259971514992     
-0.475              0.0291337926083     -0.242654511694     
-0.45               0.0310836925007     -0.225892091812     
-0.425              0.033093963501      -0.209675854557     
-0.4                0.0351554320565     -0.193973448798     
-0.375              0.0372602986399     -0.178744770094     
-0.35               0.0394014096828     -0.163951334129     
-0.325              0.0415716202325     -0.149550071786     
-0.3                0.0437641756692     -0.13550299884      
-0.275              0.0459732710338     -0.121788078079     
-0.25               0.0481933761958     -0.108385005084     
-0.225              0.0504194956632     -0.0952802745828    
-0.2                0.0526467689967     -0.0824597786251    
-0.175              0.0548706363811     -0.0699121638015    
-0.15               0.0570872734643     -0.0576360312439    
-0.125              0.0592929662801     -0.0456289645858    
-0.1                0.0614840479752     -0.0338869887583    
-0.075              0.0636572919655     -0.0224110676634    
-0.05               0.0658097118363     -0.0112038020064    
-0.025              0.0679383235974     -0.000265997099435  
