#muN= 40 ; mu:       Intensity:   polarization degree:
-1.0                0.017588121165      0.300876426152      
-0.975              0.0196361126609     0.318604666236      
-0.95               0.021185620631      0.329101367669      
-0.925              0.0222039920412     0.335616765195      
-0.9                0.0227579720638     0.339309185507      
-0.875              0.0229028647469     0.341090880683      
-0.85               0.0227338327648     0.34156441333       
-0.825              0.0223435660168     0.341096608985      
-0.8                0.0218087689213     0.339881282757      
-0.775              0.0211840517518     0.338079806173      
-0.75               0.0205092066339     0.335755907467      
-0.725              0.0198102020327     0.332921364031      
-0.7                0.0191048811845     0.329650738578      
-0.675              0.0184057764607     0.325954603479      
-0.65               0.0177193006953     0.321804176216      
-0.625              0.0170499709644     0.317208056882      
-0.6                0.0164015445305     0.312175372057      
-0.575              0.015774865017      0.306692439129      
-0.55               0.0151700431233     0.300740592814      
-0.525              0.0145871252212     0.294299299974      
-0.5                0.0140259647107     0.287349559692      
-0.475              0.0134857428995     0.279869861767      
-0.45               0.0129654879995     0.271834798601      
-0.425              0.0124642466992     0.263213464535      
-0.4                0.0119810691706     0.253971457147      
-0.375              0.0115150203479     0.244071011933      
-0.35               0.0110651950433     0.23346967114       
-0.325              0.0106306917354     0.222120395786      
-0.3                0.0102106089027     0.209970848531      
-0.275              0.00980405684495    0.196962276253      
-0.25               0.00941026837707    0.183028792321      
-0.225              0.00902854889725    0.168096828404      
-0.2                0.00865820475897    0.15208336829       
-0.175              0.00829854382826    0.134894061722      
-0.15               0.00794894563253    0.116422376427      
-0.125              0.00760889128947    0.0965493105316     
-0.1                0.00727786965753    0.0751391839146     
-0.075              0.00695536959518    0.0520360239035     
-0.05               0.00664087996089    0.0270593183266     
-0.025              0.00633388961313    -1.32506972535e-06  
