Energies:     7.94328e-06     1.42889e-05     2.57040e-05     4.62381e-05     8.31764e-05     1.49624e-04     2.69153e-04     4.84172e-04     8.70964e-04     1.56675e-03     2.81838e-03     5.06991e-03     9.12011e-03     1.64059e-02     2.95121e-02     5.30884e-02     9.54993e-02     1.71791e-01     3.09030e-01     5.55904e-01     1.00000e+00
   82deg:    -5.56120e+00    -5.68968e+00    -5.64790e+00    -5.39089e+00    -4.22225e+00    -1.34341e+00     2.53574e+00     5.28048e+00     6.73446e+00     7.59274e+00     8.11430e+00     8.38396e+00     8.48041e+00     8.47735e+00     8.43627e+00     8.40594e+00     8.41984e+00     8.47172e+00     8.44691e+00     8.04794e+00     6.95516e+00
  Sc.N.0:     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00     0.00000e+00
  Sc.N.1:    -1.81059e+01    -1.90355e+01    -1.90159e+01    -1.90429e+01    -1.94806e+01    -2.03092e+01    -1.88417e+01    -1.49185e+01    -1.03817e+01    -6.96021e+00    -4.76018e+00    -2.89645e+00    -1.66542e+00    -1.23812e+00    -7.54879e-01    -3.80583e-01    -2.72686e-01    -1.71708e-01    -7.00741e-02    -2.80665e-02    -1.54885e-02
  Sc.N.2:    -1.03121e+01    -1.08316e+01    -1.08905e+01    -1.09095e+01    -1.08904e+01    -1.04969e+01    -8.92534e+00    -7.51715e+00    -7.18668e+00    -7.11798e+00    -6.55250e+00    -5.57147e+00    -4.49630e+00    -3.50681e+00    -2.70034e+00    -2.02715e+00    -1.44114e+00    -1.02802e+00    -6.73316e-01    -4.86476e-01    -3.25601e-01
  Sc.N.3:    -2.87916e+00    -3.25361e+00    -3.41986e+00    -3.50609e+00    -3.44768e+00    -3.14584e+00    -2.75338e+00    -2.89893e+00    -3.50440e+00    -4.18937e+00    -4.79990e+00    -5.25938e+00    -5.46064e+00    -5.35541e+00    -4.99290e+00    -4.46604e+00    -3.85814e+00    -3.22906e+00    -2.61705e+00    -2.02530e+00    -1.43726e+00
  Sc.N.4:     3.50816e+00     3.07771e+00     2.80150e+00     2.60758e+00     2.47127e+00     2.33837e+00     2.04885e+00     1.50943e+00     8.87632e-01     3.29422e-01    -1.26609e-01    -4.85552e-01    -7.74504e-01    -1.02695e+00    -1.25112e+00    -1.42111e+00    -1.49975e+00    -1.46442e+00    -1.31463e+00    -1.05972e+00    -7.12773e-01
  Sc.N.5:     8.47134e+00     7.91503e+00     7.54216e+00     7.24116e+00     6.89982e+00     6.44758e+00     5.85599e+00     5.18053e+00     4.52008e+00     3.92018e+00     3.37941e+00     2.88173e+00     2.41276e+00     1.97031e+00     1.56691e+00     1.22357e+00     9.61941e-01     7.97179e-01     7.28620e-01     7.34582e-01     7.70349e-01
  Sc.N.6:     1.20831e+01     1.14121e+01     1.09637e+01     1.05792e+01     1.01058e+01     9.49257e+00     8.77737e+00     8.03537e+00     7.32458e+00     6.66528e+00     6.05774e+00     5.49887e+00     4.98963e+00     4.53702e+00     4.15238e+00     3.84838e+00     3.63453e+00     3.50629e+00     3.42171e+00     3.27416e+00     2.91495e+00
  Sc.N.7:     1.46330e+01     1.38774e+01     1.33742e+01     1.29329e+01     1.23928e+01     1.17176e+01     1.09607e+01     1.01898e+01     9.44778e+00     8.75230e+00     8.10917e+00     7.52126e+00     6.99229e+00     6.52799e+00     6.13645e+00     5.82774e+00     5.60992e+00     5.47340e+00     5.35293e+00     5.07939e+00     4.43263e+00
